,Title,AII
573,"Morticians, Undertakers, and Funeral Arrangers",0.0
574,Motion Picture Projectionists,0.11764705882352941
575,Motorboat Mechanics and Service Technicians,0.07692307692307693
576,Motorboat Operators,0.125
577,Motorcycle Mechanics,0.0
578,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.14285714285714285
579,Museum Technicians and Conservators,0.0
580,Music Directors and Composers,0.16666666666666666
581,Music Therapists,0.13333333333333333
582,Musical Instrument Repairers and Tuners,0.0
583,Musicians and Singers,0.06896551724137931
584,Nannies,0.0
585,Nanosystems Engineers,0.2
586,Nanotechnology Engineering Technologists and Technicians,0.16
587,Natural Sciences Managers,0.0
588,Naturopathic Physicians,0.15
589,Network and Computer Systems Administrators,0.35
590,Neurodiagnostic Technologists,0.375
591,Neurologists,0.3333333333333333
592,Neuropsychologists,0.14285714285714285
