                                                                                               occupation  A0  A1  A2  A3  A4  total
                                                                                  Couriers and Messengers   3   0   5   1   0      9
                                                                Painting, Coating, and Decorating Workers   2   4   2   1   0      9
                                                                  Pump Operators, Except Wellhead Pumpers   1   2   1   4   1      9
                                                                                    Wind Energy Engineers   0   0   0   9   0      9
                                                          Dispatchers, Except Police, Fire, and Ambulance   0   0   2   6   1      9
                                                                                        Animal Scientists   0   0   2   4   2      8
                                                                              Logging Equipment Operators   3   2   2   1   0      8
                                                                          Public Safety Telecommunicators   0   1   1   4   2      8
                                                                       Power Distributors and Dispatchers   0   0   1   7   0      8
                                                                                     Avionics Technicians   4   1   0   3   0      8
                                                                                             Optometrists   2   0   1   5   0      8
                                                                                              Geographers   1   0   1   1   5      8
                                                                                           Pharmacy Aides   2   1   1   3   1      8
                                                                                            Orthodontists   1   1   0   6   0      8
                                                                            Sound Engineering Technicians   2   1   4   1   0      8
                                                                Solar Sales Representatives and Assessors   0   1   1   4   2      8
                                                                                   Insurance Underwriters   0   0   0   7   0      7
                                                                                  Air Traffic Controllers   0   0   0   7   0      7
                                                                                  Hearing Aid Specialists   1   1   4   1   0      7
                                                                           Subway and Streetcar Operators   2   1   0   4   0      7
                                                                              Floor Sanders and Finishers   6   1   0   0   0      7
                                                                                   Farm Labor Contractors   0   1   1   5   0      7
                                                                       Reinforcing Iron and Rebar Workers   6   0   1   0   0      7
                                                                            Information Security Analysts   0   0   0   5   2      7
                                                                                    Histology Technicians   2   1   1   3   0      7
                                                                                            Travel Agents   0   1   1   2   3      7
                                                Water and Wastewater Treatment Plant and System Operators   1   1   1   3   0      6
                                                Gambling Surveillance Officers and Gambling Investigators   0   0   1   4   1      6
                                                                           Solar Energy Systems Engineers   0   0   1   5   0      6
                                                                                     Medical Dosimetrists   1   1   1   2   0      5
                                                                   Industrial Truck and Tractor Operators   1   1   0   3   0      5
                                                               Graders and Sorters, Agricultural Products   0   0   0   1   4      5
                                                                                         Dredge Operators   3   0   0   2   0      5
                                                                        Insurance Appraisers, Auto Damage   0   0   2   2   0      4
                                                                                    Pile Driver Operators   2   0   1   1   0      4
                                                                      Aircraft Cargo Handling Supervisors   1   0   0   3   0      4
                                                                    Special Effects Artists and Animators   0   0   0   3   1      4
                                                                                               Shampooers   1   1   0   0   1      3
