                                                                                               occupation  A0  A1  A2  A3  A4  total
                                                                                         Biostatisticians   0   0   3  16   5     24
                                                                  Plumbers, Pipefitters, and Steamfitters  13   2   5   3   1     24
                                                                          Physics Teachers, Postsecondary   0   4   9   7   4     24
                                                                              Human Resources Specialists   0   2   4  18   0     24
                                                                                        Flight Attendants   5   3   8   8   0     24
                                            Fine Artists, Including Painters, Sculptors, and Illustrators   6   0   6   4   8     24
                                                                                    Construction Managers   0   0   2  20   2     24
                                                                                         Online Merchants   0   0   3   4  16     23
                                                                                             Radiologists   0   0   3  20   0     23
                                                                                      Retail Salespersons   0   6   7   6   4     23
                                                                                      Physical Therapists  11   3   5   4   0     23
                                               Area, Ethnic, and Cultural Studies Teachers, Postsecondary   0   0   7  11   5     23
                                                                                      Photonics Engineers   0   0   3  13   7     23
                                                                              Audio and Video Technicians   1   5   5   6   6     23
                                                                          Airfield Operations Specialists   0   1   1  21   0     23
                                       Environmental Science and Protection Technicians, Including Health   1   0   3  16   3     23
                     Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders   1   5   8   8   1     23
                                                            Agricultural Sciences Teachers, Postsecondary   0   1   8   6   8     23
                                                     Family and Consumer Sciences Teachers, Postsecondary   0   0   9   7   7     23
                                                                                   Potters, Manufacturing   4   6   3   8   2     23
                                                                                    Funeral Home Managers   1   0   4  14   4     23
                                                   Recreation and Fitness Studies Teachers, Postsecondary   0   0  10   8   5     23
                                              Explosives Workers, Ordnance Handling Experts, and Blasters   6   1   0  16   0     23
                                                                                 Sewing Machine Operators   6   4   3   8   2     23
                                                                  Human Factors Engineers and Ergonomists   1   0   3  12   7     23
                                                   Brownfield Redevelopment Specialists and Site Managers   1   0   1  19   2     23
                                                               Merchandise Displayers and Window Trimmers   4   3  10   3   3     23
                                                                                             Hydrologists   1   0   5  13   4     23
                                                                           Shuttle Drivers and Chauffeurs   3   3   5  11   1     23
                                                             Mathematical Science Teachers, Postsecondary   1   1   7   8   6     23
                                                                                        Credit Counselors   0   0   4  14   5     23
                                             Criminal Justice and Law Enforcement Teachers, Postsecondary   0   4   5   7   7     23
                                                                                         Lodging Managers   0   0   7  13   3     23
                                                                  Industrial-Organizational Psychologists   0   0   5  14   4     23
                                                                                     Video Game Designers   0   0   4   6  13     23
                                                                              Law Teachers, Postsecondary   1   0   8   9   5     23
                                                                        Surveying and Mapping Technicians   4   0   7   6   6     23
                                                                                          Sales Engineers   0   0   7  10   6     23
                                                                                        Athletic Trainers   8   2   7   4   1     22
                                                                       Compensation and Benefits Managers   0   0   1  19   2     22
                                                                   Communications Teachers, Postsecondary   1   0   9   7   5     22
                                                     Compensation, Benefits, and Job Analysis Specialists   0   0   1  18   3     22
                                                           Hairdressers, Hairstylists, and Cosmetologists  13   3   4   0   2     22
                                                                     Architecture Teachers, Postsecondary   0   2   6   8   6     22
                                                                                      Furniture Finishers  12   3   3   3   1     22
                                        Electro-Mechanical and Mechatronics Technologists and Technicians   3   0   6  10   3     22
                                                                   Architects, Except Landscape and Naval   0   1   2  17   2     22
                                                                           Emergency Management Directors   0   0   0  22   0     22
                                                           Morticians, Undertakers, and Funeral Arrangers   6   4   3   7   2     22
                                                               Makeup Artists, Theatrical and Performance   9   4   5   3   1     22
                                                                                    Etchers and Engravers   9   3   3   6   1     22
                                                                Political Science Teachers, Postsecondary   0   3   7   8   4     22
                                                                               Treasurers and Controllers   0   0   1  19   2     22
                                                                                             Logisticians   0   0   3  12   7     22
                                                    Bus and Truck Mechanics and Diesel Engine Specialists  17   3   1   1   0     22
                                                                                                  Lawyers   0   0   1  21   0     22
                                                          Philosophy and Religion Teachers, Postsecondary   1   2   6   6   7     22
                                                          First-Line Supervisors of Correctional Officers   3   1   1  17   0     22
                                                      Locker Room, Coatroom, and Dressing Room Attendants   4   8   6   3   1     22
                                       Woodworking Machine Setters, Operators, and Tenders, Except Sawing   3   6   3  10   0     22
                                                                                         Food Batchmakers   1   1   5  15   0     22
                                                                                        Commercial Divers  14   1   0   7   0     22
                                                                              Media Programming Directors   0   0   3  16   3     22
                                                                                     Automotive Engineers   0   0   0  17   5     22
                                               Dining Room and Cafeteria Attendants and Bartender Helpers   4  12   4   1   1     22
                                                                                              Geneticists   0   0   4  13   5     22
                                                                Stationary Engineers and Boiler Operators   5   4   2  11   0     22
                                                                                     Critical Care Nurses   2   3   5  12   0     22
                                                                        Economics Teachers, Postsecondary   1   2   6   5   8     22
                                                            Septic Tank Servicers and Sewer Pipe Cleaners  15   5   0   2   0     22
                                                                                          Customs Brokers   0   0   2  19   1     22
                                                      Rail Yard Engineers, Dinkey Operators, and Hostlers   5   3   0  12   2     22
                                            First-Line Supervisors of Housekeeping and Janitorial Workers   1   0   5  13   3     22
                                                               Health Specialties Teachers, Postsecondary   1   0   6   7   8     22
