occupation,AGI-specific,NOT AGI-specific
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",16,3
"Secondary School Teachers, Except Special and Career/Technical Education",29,3
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",14,3
"Orthopedic Surgeons, Except Pediatric",12,3
Pile Driver Operators,2,3
"Energy Engineers, Except Wind and Solar",18,3
Clergy,18,3
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",14,3
"Office Clerks, General",17,3
Private Detectives and Investigators,11,3
"Environmental Science and Protection Technicians, Including Health",22,3
"Office Machine Operators, Except Computer",15,3
Retail Loss Prevention Specialists,18,3
Floral Designers,12,3
Computer Systems Analysts,19,3
Conservation Scientists,27,3
Solar Energy Installation Managers,12,3
Executive Secretaries and Executive Administrative Assistants,19,3
Personal Care Aides,8,3
Exercise Trainers and Group Fitness Instructors,17,3
Real Estate Brokers,14,3
Audiologists,19,3
Electrical and Electronic Equipment Assemblers,13,3
Allergists and Immunologists,12,4
Security Managers,24,4
Logistics Analysts,27,4
Logging Equipment Operators,5,4
Log Graders and Scalers,8,4
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",14,4
Business Continuity Planners,17,4
Light Truck Drivers,9,4
Library Technicians,27,4
Automotive and Watercraft Service Attendants,10,4
Psychiatric Technicians,12,4
Validation Engineers,17,4
Calibration Technologists and Technicians,11,4
Athletes and Sports Competitors,5,4
Residential Advisors,26,4
Architectural and Civil Drafters,24,4
"Potters, Manufacturing",19,4
Postal Service Mail Carriers,17,4
"Textile Cutting Machine Setters, Operators, and Tenders",14,4
Aerospace Engineers,12,4
Packaging and Filling Machine Operators and Tenders,16,4
"Mining and Geological Engineers, Including Mining Safety Engineers",14,4
Models,6,4
Motion Picture Projectionists,13,4
Orthodontists,7,4
Sports Medicine Physicians,23,4
Biomass Plant Technicians,14,4
Airfield Operations Specialists,23,4
"Ophthalmologists, Except Pediatric",14,4
"Special Education Teachers, Preschool",32,4
"Special Education Teachers, Middle School",36,4
Nuclear Technicians,14,4
Occupational Health and Safety Specialists,18,4
"Special Education Teachers, Kindergarten",26,4
Optometrists,6,4
Podiatrists,7,4
"Meeting, Convention, and Event Planners",17,4
Amusement and Recreation Attendants,13,4
"Physicians, Pathologists",15,4
Bridge and Lock Tenders,14,4
"Pediatricians, General",13,4
Pediatric Surgeons,14,4
Slaughterers and Meat Packers,10,4
Mechanical Engineering Technologists and Technicians,26,4
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",7,4
Mechanical Engineers,24,4
Blockchain Engineers,13,4
Medical Secretaries and Administrative Assistants,11,4
Medical and Clinical Laboratory Technicians,9,4
Tellers,24,4
Passenger Attendants,8,4
Taxi Drivers,12,4
Medical Equipment Repairers,16,4
"Middle School Teachers, Except Special and Career/Technical Education",31,4
Zoologists and Wildlife Biologists,10,4
Information Security Analysts,7,4
Cytotechnologists,9,4
Cooling and Freezing Equipment Operators and Tenders,14,4
File Clerks,15,4
Computer Network Architects,29,4
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",7,4
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",22,4
First-Line Supervisors of Correctional Officers,19,4
"Geoscientists, Except Hydrologists and Geographers",28,4
Dishwashers,9,4
Dredge Operators,2,4
Engine and Other Machine Assemblers,8,4
Chemical Plant and System Operators,15,4
Food Cooking Machine Operators and Tenders,13,4
Electromechanical Equipment Assemblers,10,4
Computer Programmers,13,4
Customs and Border Protection Officers,7,4
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",19,4
Cargo and Freight Agents,20,4
Clinical Data Managers,17,4
Human Factors Engineers and Ergonomists,22,4
Foresters,21,4
"Fraud Examiners, Investigators and Analysts",19,4
Freight Forwarders,27,4
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",25,4
Food Batchmakers,21,4
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",24,4
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",15,4
Biomass Power Plant Managers,14,5
Geographers,7,5
Clinical Neuropsychologists,13,5
Medical Transcriptionists,10,5
"Painters, Construction and Maintenance",12,5
Recreation Workers,19,5
"Electronic Equipment Installers and Repairers, Motor Vehicles",7,5
Recycling and Reclamation Workers,9,5
"Meat, Poultry, and Fish Cutters and Trimmers",7,5
Merchandise Displayers and Window Trimmers,19,5
Orthoptists,11,5
