occupation,A0,A1,A2,A3,A4,P
"Economics Teachers, Postsecondary",1,2,6,5,8,0
Economists,0,0,2,4,7,1
Editors,0,0,3,11,6,1
"Education Administrators, Kindergarten through Secondary",0,0,3,26,3,0
"Education Administrators, Postsecondary",0,0,3,19,4,1
"Education Teachers, Postsecondary",0,1,9,10,4,0
"Education and Childcare Administrators, Preschool and Daycare",1,0,1,12,3,0
"Educational, Guidance, and Career Counselors and Advisors",1,4,17,9,3,1
"Electric Motor, Power Tool, and Related Repairers",14,3,3,8,1,2
Electrical Engineers,0,0,2,13,4,3
Electrical Power-Line Installers and Repairers,16,1,1,4,0,1
Electrical and Electronic Engineering Technologists and Technicians,2,1,6,11,6,4
Electrical and Electronic Equipment Assemblers,1,5,1,6,1,2
Electrical and Electronics Drafters,2,0,3,14,6,5
"Electrical and Electronics Installers and Repairers, Transportation Equipment",8,1,2,2,1,1
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",3,4,4,5,2,2
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",3,1,3,6,0,2
Electricians,8,3,2,4,1,3
Electro-Mechanical and Mechatronics Technologists and Technicians,3,0,6,10,3,6
Electromechanical Equipment Assemblers,2,1,0,6,3,2
"Electronic Equipment Installers and Repairers, Motor Vehicles",3,3,3,1,0,2
"Electronics Engineers, Except Computer",0,0,0,11,7,2
"Elementary School Teachers, Except Special Education",2,3,23,8,1,1
Elevator and Escalator Installers and Repairers,12,1,0,3,1,3
"Eligibility Interviewers, Government Programs",0,3,2,10,2,0
Embalmers,21,2,0,3,0,0
Emergency Management Directors,0,0,0,22,0,1
Emergency Medical Technicians,5,0,2,4,0,1
Emergency Medicine Physicians,2,0,0,11,0,4
Endoscopy Technicians,6,1,1,2,1,1
Energy Auditors,0,0,7,4,3,7
"Energy Engineers, Except Wind and Solar",0,0,1,15,2,3
Engine and Other Machine Assemblers,3,1,1,4,2,1
"Engineering Teachers, Postsecondary",0,1,8,9,6,0
"English Language and Literature Teachers, Postsecondary",1,4,7,14,7,0
"Entertainment and Recreation Managers, Except Gambling",1,2,3,5,4,2
Environmental Compliance Inspectors,1,1,3,16,4,1
Environmental Economists,0,0,1,7,11,1
Environmental Engineering Technologists and Technicians,0,0,6,17,3,0
Environmental Engineers,2,0,3,20,4,0
Environmental Restoration Planners,0,0,3,17,1,2
"Environmental Science Teachers, Postsecondary",1,1,9,8,6,0
"Environmental Science and Protection Technicians, Including Health",1,0,3,16,3,2
"Environmental Scientists and Specialists, Including Health",0,0,4,15,2,1
Epidemiologists,0,0,1,14,1,0
Equal Opportunity Representatives and Officers,0,0,2,16,0,0
Etchers and Engravers,9,3,3,6,1,4
"Excavating and Loading Machine and Dragline Operators, Surface Mining",5,1,1,8,0,1
Executive Secretaries and Executive Administrative Assistants,1,1,2,11,5,2
Exercise Physiologists,5,1,1,13,1,4
Exercise Trainers and Group Fitness Instructors,3,5,6,6,0,0
"Explosives Workers, Ordnance Handling Experts, and Blasters",6,1,0,16,0,4
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0,5,3,7,1,0
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",2,7,1,5,1,1
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",1,5,8,8,1,3
Fabric and Apparel Patternmakers,2,0,7,1,2,4
Facilities Managers,0,0,2,6,3,0
Fallers,15,1,1,0,0,1
Family Medicine Physicians,1,0,1,9,0,1
"Family and Consumer Sciences Teachers, Postsecondary",0,0,9,7,7,0
Farm Equipment Mechanics and Service Technicians,6,3,2,3,0,0
Farm Labor Contractors,0,1,1,5,0,0
Farm and Home Management Educators,1,1,6,2,4,1
"Farmers, Ranchers, and Other Agricultural Managers",4,0,6,12,5,3
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",10,5,4,6,1,1
"Farmworkers, Farm, Ranch, and Aquacultural Animals",11,1,2,4,1,0
Fashion Designers,1,1,10,3,4,1
Fast Food and Counter Workers,3,11,3,6,2,2
Fence Erectors,12,4,1,1,0,2
Fiberglass Laminators and Fabricators,6,3,1,5,1,0
File Clerks,0,1,7,2,5,4
Film and Video Editors,0,0,7,5,7,3
Financial Examiners,0,0,0,12,5,0
Financial Managers,0,0,1,13,3,0
Financial Quantitative Analysts,0,0,0,15,6,0
Financial Risk Specialists,0,0,1,21,7,1
Financial and Investment Analysts,0,0,3,19,4,0
"Fine Artists, Including Painters, Sculptors, and Illustrators",6,0,6,4,8,4
Fire Inspectors and Investigators,6,2,5,16,1,0
Fire-Prevention and Protection Engineers,0,0,0,11,2,1
Firefighters,23,3,0,3,1,0
First-Line Supervisors of Construction Trades and Extraction Workers,0,1,3,10,0,1
First-Line Supervisors of Correctional Officers,3,1,1,17,0,1
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",0,2,7,8,1,1
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0,0,6,21,1,2
First-Line Supervisors of Firefighting and Prevention Workers,4,2,3,19,1,1
First-Line Supervisors of Food Preparation and Serving Workers,2,0,2,19,3,0
First-Line Supervisors of Gambling Services Workers,2,1,2,25,0,0
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0,0,6,14,1,3
First-Line Supervisors of Housekeeping and Janitorial Workers,1,0,5,13,3,4
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3,1,3,18,2,1
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0,0,4,14,3,1
"First-Line Supervisors of Mechanics, Installers, and Repairers",1,0,3,13,4,1
First-Line Supervisors of Non-Retail Sales Workers,1,0,3,10,3,1
First-Line Supervisors of Office and Administrative Support Workers,0,0,4,19,4,1
First-Line Supervisors of Passenger Attendants,0,0,2,13,3,1
First-Line Supervisors of Personal Service Workers,0,0,3,12,1,1
First-Line Supervisors of Police and Detectives,1,1,2,16,0,0
First-Line Supervisors of Production and Operating Workers,0,0,1,12,4,3
First-Line Supervisors of Retail Sales Workers,0,0,7,10,3,1
First-Line Supervisors of Security Workers,0,0,2,14,0,5
Fish and Game Wardens,10,0,1,12,1,0
Fishing and Hunting Workers,15,4,0,9,0,1
Fitness and Wellness Coordinators,2,2,8,7,5,0
Flight Attendants,5,3,8,8,0,1
"Floor Layers, Except Carpet, Wood, and Hard Tiles",9,3,2,0,0,0
Floor Sanders and Finishers,6,1,0,0,0,0
Floral Designers,3,5,4,1,2,0
Food Batchmakers,1,1,5,15,0,3
Food Cooking Machine Operators and Tenders,0,3,1,8,1,4
Food Preparation Workers,6,7,6,3,4,5
Food Science Technicians,0,0,3,9,2,2
Food Scientists and Technologists,0,0,2,10,1,0
"Food Servers, Nonrestaurant",2,4,2,3,2,1
Food Service Managers,2,2,7,10,6,1
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",2,4,3,7,1,2
"Foreign Language and Literature Teachers, Postsecondary",1,1,8,7,7,0
Forensic Science Technicians,4,0,7,10,0,3
Forest Fire Inspectors and Prevention Specialists,4,3,1,7,0,1
Forest and Conservation Technicians,6,2,1,9,1,1
Forest and Conservation Workers,11,1,2,2,0,1
